,2016/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017,,,2017,2017/Annual
Name,주당배당금/0D2007,주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)메타바이오메드,9.85,9.83,"215,044,000.","215,044,000.",84.73,2.61,5.65,"7,256,676,000.",1.12,7.07,82.37,"-3,896,803,000.",109.93,"44,185,868,000.",-9.28,"208,423,910.0",오석송(21.57),236.,중소기업,5,"76,560,480,500."
(주)이건홀딩스,28.04,46.74,"669,606,000.","669,606,000.",27.47,2.19,6.98,"54,072,987,000.",.31,-72.14,23.10,"2,148,883,000.",27.47,"38,292,389,000.",2.10,"911,723,550.0",박승준(20.02),52.,대기업,5,"46,563,003,500."
(주)대성미생물연구소,"1,000.",850.,"323,000,000.","323,000,000.",402.14,6.87,3.63,"22,155,338,000.",.27,-21.94,14.81,"1,557,554,000.",622.51,"24,043,374,000.",4.43,"170,520,380.0",이동규(32.02),130.,중소기업,3,"40,318,000,000."
에이아이비트(주),-,-,,,126.,2.22,8.78,"-61,621,457,000.",.5,-37.29,204.76,"-5,560,925,000.",126.0,"22,119,812,000.",19.77,"216,860,900.0",준파투자조합(8.96),112.,중소기업,9,"52,192,290,000."
(주)휴온스글로벌,407.6,521.83,"5,172,238,000.","4,925,941,000.",119.27,7.78,36.83,"67,427,491,000.",1.71,140.78,2.63,"10,219,900,000.",133.13,"25,861,844,000.",2.06,"304,256,990.0",윤성태(43.60),160.,대기업,3,"551,090,798,000."
한국가스공사,-,-,,,83.56,4.50,16.54,"4,050,034,197,000.",.39,4.35,407.66,"-1,021,611,230,000.",107.52,"21,055,675,649,000.",-12.19,"5,577,662,420.0",정부(26.15),"4,213.",기타,6,"3,927,918,150,000."
(주)케이티앤지,"3,310.85","3,678.72","505,060,508,000.","505,060,508,000.",261.99,3.36,3.36,"6,001,208,654,000.",.81,1.08,21.51,"974,896,354,000.",321.89,"3,000,087,863,000.",8.58,"698,507,070.0",국민연금공단(9.61),"4,075.",대기업,2,"15,857,283,403,500."
(주)이글벳,19.72,19.37,"226,029,000.","226,029,000.",70.06,5.0,3.42,"11,407,758,000.",.73,18.41,55.95,"1,555,384,000.",155.54,"34,156,184,000.",0.81,"359,538,780.0",강태성(14.54),110.,중소기업,4,"60,092,435,100."
대화제약(주),48.44,97.03,"1,768,435,000.","1,768,435,000.",45.95,4.83,9.69,"47,031,834,000.",1.4,4.69,93.58,"13,541,254,000.",59.41,"85,802,226,000.",19.66,"247,268,660.0",고준진(9.90),364.,대기업,4,"451,068,106,500."
